home_team,away_team,home_score,away_score,tournament,country,day,month,year,home_result,away_result,total_goals,serial,home_group,away_group,home_team_txt,away_team_txt,year_n,result,home_random,away_random,decade,home_result_desc,away_result_desc
Belgium,Germany,0,1,UEFA Euro qualification,Belgium,3,9,2010,-1,1,1,3393,1,1,Belgium,Germany,0,1,0.73551,0.14143,12,loser,winner
Switzerland,Australia,0,0,Friendly,Switzerland,3,9,2010,0,0,0,3394,0,0,Switzerland,Australia,0,0,0.52408,0.21139,12,draw,draw
Mexico,Ecuador,1,2,Friendly,Mexico,4,9,2010,-1,1,3,3395,1,0,Mexico,Ecuador,0,1,0.75195,0.72605,12,loser,winner
Argentina,Spain,4,1,Friendly,Argentina,7,9,2010,3,-3,5,3396,1,1,Argentina,Spain,0,3,0.63293,0.24296,12,winner,loser
South Korea,Iran,0,1,Friendly,South Korea,7,9,2010,-1,1,1,3397,0,1,South_Korea,Iran,0,1,0.2832,0.78602,12,loser,winner
Poland,Australia,1,2,Friendly,Poland,7,9,2010,-1,1,3,3398,0,0,Poland,Australia,0,1,0.10393,0.56917,12,loser,winner
Switzerland,England,1,3,UEFA Euro qualification,Switzerland,7,9,2010,-2,2,4,3399,0,1,Switzerland,England,0,2,0.95133,0.86019,12,loser,winner
Iran,Brazil,0,3,Friendly,United Arab Emirates,7,10,2010,-3,3,3,3400,1,0,Iran,Brazil,0,3,0.28044,0.55521,12,loser,winner
Japan,Argentina,1,0,Friendly,Japan,8,10,2010,1,-1,1,3401,0,1,Japan,Argentina,0,1,0.43392,0.20241,12,winner,loser
Portugal,Denmark,3,1,UEFA Euro qualification,Portugal,8,10,2010,2,-2,4,3402,1,1,Portugal,Denmark,0,2,0.35532,0.00557,12,winner,loser
United States,Poland,2,2,Friendly,United States,9,10,2010,0,0,4,3403,0,0,United_States,Poland,0,0,0.46196,0.04556,12,draw,draw
Ecuador,Poland,2,2,Friendly,Canada,12,10,2010,0,0,4,3404,0,0,Ecuador,Poland,0,0,0.87337,0.89286,12,draw,draw
South Korea,Japan,0,0,Friendly,South Korea,12,10,2010,0,0,0,3405,0,0,South_Korea,Japan,0,0,0.73204,0.70039,12,draw,draw
Switzerland,Wales,4,1,UEFA Euro qualification,Switzerland,12,10,2010,3,-3,5,3406,0,0,Switzerland,Wales,0,3,0.65453,0.53643,12,winner,loser
Argentina,Brazil,1,0,Friendly,Qatar,17,11,2010,1,-1,1,3407,1,0,Argentina,Brazil,0,1,0.38162,0.6201,12,winner,loser
England,France,1,2,Friendly,England,17,11,2010,-1,1,3,3408,1,0,England,France,0,1,0.96337,0.78719,12,loser,winner
Portugal,Spain,4,0,Friendly,Portugal,17,11,2010,4,-4,4,3409,1,1,Portugal,Spain,0,4,0.05103,0.45649,12,winner,loser
Saudi Arabia,Ghana,0,0,Friendly,United Arab Emirates,17,11,2010,0,0,0,3410,1,0,Saudi_Arabia,Ghana,0,0,0.3441,0.40593,12,draw,draw
Qatar,Saudi Arabia,1,1,Gulf Cup,Yemen,28,11,2010,0,0,2,3411,0,1,Qatar,Saudi_Arabia,0,0,0.10876,0.42533,12,draw,draw
Australia,South Korea,1,1,AFC Asian Cup,Qatar,14,1,2011,0,0,2,3412,0,0,Australia,South_Korea,1,0,0.12274,0.89927,12,draw,draw
Saudi Arabia,Japan,0,5,AFC Asian Cup,Qatar,17,1,2011,-5,5,5,3413,1,0,Saudi_Arabia,Japan,1,5,0.7259,0.20143,12,loser,winner
Qatar,Japan,2,3,AFC Asian Cup,Qatar,21,1,2011,-1,1,5,3414,0,0,Qatar,Japan,1,1,0.55683,0.12314,12,loser,winner
Iran,South Korea,0,1,AFC Asian Cup,Qatar,22,1,2011,-1,1,1,3415,1,0,Iran,South_Korea,1,1,0.78484,0.78745,12,loser,winner
Japan,South Korea,2,2,AFC Asian Cup,Qatar,25,1,2011,0,0,4,3416,0,0,Japan,South_Korea,1,0,0.19469,0.4176,12,draw,draw
Australia,Japan,0,1,AFC Asian Cup,Qatar,29,1,2011,-1,1,1,3417,0,0,Australia,Japan,1,1,0.70051,0.73558,12,loser,winner
Argentina,Portugal,2,1,Friendly,Switzerland,9,2,2011,1,-1,3,3418,1,1,Argentina,Portugal,1,1,0.3197,0.4982,12,winner,loser
Denmark,England,1,2,Friendly,Denmark,9,2,2011,-1,1,3,3419,1,1,Denmark,England,1,1,0.48267,0.24449,12,loser,winner
France,Brazil,1,0,Friendly,France,9,2,2011,1,-1,1,3420,0,0,France,Brazil,1,1,0.55013,0.53461,12,winner,loser
Senegal,Cameroon,1,0,African Cup of Nations qualification,Senegal,26,3,2011,1,-1,1,3421,0,1,Senegal,Cameroon,1,1,0.71827,0.96459,12,winner,loser
United States,Argentina,1,1,Friendly,United States,26,3,2011,0,0,2,3422,0,1,United_States,Argentina,1,0,0.67398,0.61301,12,draw,draw
Wales,England,0,2,UEFA Euro qualification,Wales,26,3,2011,-2,2,2,3423,0,1,Wales,England,1,2,0.67311,0.28835,12,loser,winner
Costa Rica,Argentina,0,0,Friendly,Costa Rica,29,3,2011,0,0,0,3424,1,1,Costa_Rica,Argentina,1,0,0.44927,0.25621,12,draw,draw
England,Ghana,1,1,Friendly,England,29,3,2011,0,0,2,3425,1,0,England,Ghana,1,0,0.07039,0.72576,12,draw,draw
France,Croatia,0,0,Friendly,France,29,3,2011,0,0,0,3426,0,0,France,Croatia,1,0,0.81365,0.20612,12,draw,draw
Germany,Australia,1,2,Friendly,Germany,29,3,2011,-1,1,3,3427,1,0,Germany,Australia,1,1,0.79898,0.56395,12,loser,winner
Argentina,Ecuador,2,2,Friendly,Argentina,20,4,2011,0,0,4,3428,1,0,Argentina,Ecuador,1,0,0.61599,0.53892,12,draw,draw
Mexico,Ecuador,1,1,Friendly,United States,28,5,2011,0,0,2,3429,1,0,Mexico,Ecuador,1,0,0.01197,0.54268,12,draw,draw
Germany,Uruguay,2,1,Friendly,Germany,29,5,2011,1,-1,3,3430,1,1,Germany,Uruguay,1,1,0.81435,0.72161,12,winner,loser
Canada,Ecuador,2,2,Friendly,Canada,1,6,2011,0,0,4,3431,0,0,Canada,Ecuador,1,0,0.32165,0.32781,12,draw,draw
South Korea,Serbia,2,1,Friendly,South Korea,3,6,2011,1,-1,3,3432,0,1,South_Korea,Serbia,1,1,0.33172,0.69408,12,winner,loser
Brazil,Netherlands,0,0,Friendly,Brazil,4,6,2011,0,0,0,3433,0,1,Brazil,Netherlands,1,0,0.2242,0.71277,12,draw,draw
Cameroon,Senegal,0,0,African Cup of Nations qualification,Cameroon,4,6,2011,0,0,0,3434,1,0,Cameroon,Senegal,1,0,0.29268,0.6286,12,draw,draw
England,Switzerland,2,2,UEFA Euro qualification,England,4,6,2011,0,0,4,3435,1,0,England,Switzerland,1,0,0.66598,0.97293,12,draw,draw
United States,Spain,0,4,Friendly,United States,4,6,2011,-4,4,4,3436,0,1,United_States,Spain,1,4,0.62231,0.57421,12,loser,winner
Poland,Argentina,2,1,Friendly,Poland,5,6,2011,1,-1,3,3437,0,1,Poland,Argentina,1,1,0.05335,0.29367,12,winner,loser
Australia,Serbia,0,0,Friendly,Australia,7,6,2011,0,0,0,3438,0,1,Australia,Serbia,1,0,0.53858,0.84022,12,draw,draw
South Korea,Ghana,2,1,Friendly,South Korea,7,6,2011,1,-1,3,3439,0,0,South_Korea,Ghana,1,1,0.75889,0.55537,12,winner,loser
United States,Canada,2,0,Gold Cup,United States,7,6,2011,2,-2,2,3440,0,0,United_States,Canada,1,2,0.90474,0.35838,12,winner,loser
Uruguay,Netherlands,1,1,Copa Confraternidad,Uruguay,8,6,2011,0,0,2,3441,1,1,Uruguay,Netherlands,1,0,0.48589,0.1633,12,draw,draw
Poland,France,0,1,Friendly,Poland,9,6,2011,-1,1,1,3442,0,0,Poland,France,1,1,0.01477,0.10194,12,loser,winner
Mexico,Costa Rica,4,1,Gold Cup,United States,12,6,2011,3,-3,5,3443,1,1,Mexico,Costa_Rica,1,3,0.14854,0.85519,12,winner,loser
United States,Mexico,2,4,Gold Cup,United States,25,6,2011,-2,2,6,3444,0,1,United_States,Mexico,1,2,0.90776,0.60109,12,loser,winner
Argentina,Costa Rica,3,0,Copa America,Argentina,11,7,2011,3,-3,3,3445,1,1,Argentina,Costa_Rica,1,3,0.168,0.67091,12,winner,loser
Uruguay,Mexico,1,0,Copa America,Argentina,12,7,2011,1,-1,1,3446,1,1,Uruguay,Mexico,1,1,0.30562,0.75405,12,winner,loser
Brazil,Ecuador,4,2,Copa America,Argentina,13,7,2011,2,-2,6,3447,0,0,Brazil,Ecuador,1,2,0.59776,0.047,12,winner,loser
Argentina,Uruguay,1,1,Copa America,Argentina,16,7,2011,0,0,2,3448,1,1,Argentina,Uruguay,1,0,0.26534,0.75047,12,draw,draw
Costa Rica,Ecuador,0,2,Friendly,Costa Rica,10,8,2011,-2,2,2,3449,1,0,Costa_Rica,Ecuador,1,2,0.57847,0.12947,12,loser,winner
Germany,Brazil,3,2,Friendly,Germany,10,8,2011,1,-1,5,3450,1,0,Germany,Brazil,1,1,0.46378,0.93139,12,winner,loser
Japan,South Korea,3,0,Friendly,Japan,10,8,2011,3,-3,3,3451,0,0,Japan,South_Korea,1,3,0.17778,0.7663,12,winner,loser
Senegal,Morocco,0,2,Friendly,Senegal,10,8,2011,-2,2,2,3452,0,0,Senegal,Morocco,1,2,0.17168,0.84594,12,loser,winner
United States,Mexico,1,1,Friendly,United States,10,8,2011,0,0,2,3453,0,1,United_States,Mexico,1,0,0.21712,0.34957,12,draw,draw
Wales,Australia,1,2,Friendly,Wales,10,8,2011,-1,1,3,3454,0,0,Wales,Australia,1,1,0.35504,0.5638,12,loser,winner
