team_a,team_b,team_a_ar,team_b_ar,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
Costa Rica,South Korea,كوستا ريكا,كوريا الجنوبية,3,4,3,10,30,40,30,Costa_Rica,South_Korea
Croatia,South Korea,كرواتيا,كوريا الجنوبية,2,2,3,7,43,29,29,Croatia,South_Korea
Denmark,South Korea,الدنمارك,كوريا الجنوبية,1,0,0,1,0,0,100,Denmark,South_Korea
Ecuador,South Korea,الاكوادور,كوريا الجنوبية,0,1,1,2,50,50,0,Ecuador,South_Korea
England,South Korea,إنجلترا,كوريا الجنوبية,1,0,0,1,0,0,100,England,South_Korea
France,South Korea,فرنسا,كوريا الجنوبية,1,0,2,3,67,0,33,France,South_Korea
Germany,South Korea,ألمانيا,كوريا الجنوبية,0,2,2,4,50,50,0,Germany,South_Korea
Ghana,South Korea,غانا,كوريا الجنوبية,0,3,3,6,50,50,0,Ghana,South_Korea
Iran,South Korea,إيران,كوريا الجنوبية,9,8,10,27,37,30,33,Iran,South_Korea
Japan,South Korea,اليابان,كوريا الجنوبية,21,33,12,66,18,50,32,Japan,South_Korea
Mexico,South Korea,المكسيك,كوريا الجنوبية,2,3,8,13,62,23,15,Mexico,South_Korea
Morocco,South Korea,المغرب,كوريا الجنوبية,3,0,1,4,25,0,75,Morocco,South_Korea
Netherlands,South Korea,هولندا,كوريا الجنوبية,0,0,2,2,100,0,0,Netherlands,South_Korea
Poland,South Korea,بولندا,كوريا الجنوبية,1,1,1,3,33,33,33,Poland,South_Korea
Portugal,South Korea,البرتغال,كوريا الجنوبية,0,1,0,1,0,100,0,Portugal,South_Korea
Qatar,South Korea,قطر,كوريا الجنوبية,1,6,3,10,30,60,10,Qatar,South_Korea
Saudi Arabia,South Korea,السعودية,كوريا الجنوبية,8,4,4,16,25,25,50,Saudi_Arabia,South_Korea
Senegal,South Korea,السنغال,كوريا الجنوبية,1,1,3,5,60,20,20,Senegal,South_Korea
Serbia,South Korea,صربيا,كوريا الجنوبية,4,2,3,9,33,22,44,Serbia,South_Korea
Spain,South Korea,إسبانيا,كوريا الجنوبية,2,0,4,6,67,0,33,Spain,South_Korea
Switzerland,South Korea,سويسرا,كوريا الجنوبية,0,1,1,2,50,50,0,Switzerland,South_Korea
Tunisia,South Korea,تونس,كوريا الجنوبية,1,0,1,2,50,0,50,Tunisia,South_Korea
United States,South Korea,الولايات المتحدة ,كوريا الجنوبية,2,4,3,9,33,44,22,United_States,South_Korea
Uruguay,South Korea,أوروغواي,كوريا الجنوبية,1,1,6,8,75,12,12,Uruguay,South_Korea
Argentina,Spain,الأرجنتين,إسبانيا,2,6,6,14,43,43,14,Argentina,Spain
Australia,Spain,أستراليا,إسبانيا,0,1,0,1,0,100,0,Australia,Spain
Belgium,Spain,بلجيكا,إسبانيا,6,11,4,21,19,52,29,Belgium,Spain
Brazil,Spain,البرازيل,إسبانيا,2,2,5,9,56,22,22,Brazil,Spain
Canada,Spain,كندا,إسبانيا,0,2,0,2,0,100,0,Canada,Spain
Costa Rica,Spain,كوستا ريكا,إسبانيا,1,2,0,3,0,67,33,Costa_Rica,Spain
Croatia,Spain,كرواتيا,إسبانيا,1,5,3,9,33,56,11,Croatia,Spain
Denmark,Spain,الدنمارك,إسبانيا,3,11,2,16,12,69,19,Denmark,Spain
Ecuador,Spain,الاكوادور,إسبانيا,0,2,0,2,0,100,0,Ecuador,Spain
England,Spain,إنجلترا,إسبانيا,4,10,13,27,48,37,15,England,Spain
